package,score
fddm,3364.2341619887730600
gRc,1541.7895771878072800
webfakes,1131.6725978647686800
tree.interpreter,734.2169326480930500
geospark,595.8933207458107200
uplift,560.0000000000000000
proxy,509.3061571217167100
spatstat.geom,498.4031074665515800
AzureStor,498.2411437873801200
spatstat.core,494.8026128940641900
AzureRMR,484.5836247546420600
spatstat.linnet,451.8034097723962600
clickstream,438.3531362254766500
js,431.2225259704756700
ClickClust,430.0552886794163000
spatstat.sparse,422.1450123434214100
DMwR2,389.0768615958438800
botor,366.2455262817472300
sunburstR,354.9898594307294200
panelr,340.6018194541637500
RItools,330.6772513024063500
textshaping,318.5352966615142900
ragg,309.0599129208315400
anesrake,302.2249548476347800
RAthena,299.2582825119498900
svd,298.9933313511447100
textutils,295.4687125389594800
rgl,295.0588970349415200
V8,292.4800718684305700
d3r,279.9443327663522500
logger,279.7736514345835600
tseries,254.9943123095409900
fresh,254.9744172825469000
tsDyn,254.8952585575467600
tseriesChaos,253.7248028045574100
penalized,243.9693424768051600
distro,243.5838190157602500
rsparkling,234.1708823611615800
mapdata,225.7395701643489300
DataCombine,222.4217141046628300
quanteda.textmodels,220.3019883390641400
bslib,216.5261946621567000
jquerylib,215.2210598371999600
plot3D,209.5256415188704700
ic.infer,208.4772762767452800
rstpm2,207.8755628325828900
phangorn,204.8490656444657400
misc3d,203.0565760470242500
sass,199.1282689912826900
SeuratObject,197.5305667650424600
pointblank,195.1429339546554400
cachem,194.8222978867096300
superml,194.3596630448052700
terra,193.7021057376521300
waiter,191.9411996324977000
vioplot,187.1983025373530200
fuzzyjoin,186.6890664374597100
regclass,185.6623154290605600
mctest,185.2220614562130600
gamair,184.2509693338033100
decor,184.0971726038583200
svGUI,183.4113712374581900
ppcor,182.0440844875983600
tidyjson,182.0307190430882200
vroom,181.3737524683780800
muhaz,177.7513384889946500
arulesSequences,177.2921044731311900
binr,177.0249262932189800
textreuse,174.7651501197273900
coneproj,174.7277583727142000
svDialogs,174.6956061408152500
quanteda,174.5435052099038400
broom.helpers,173.9207832665776600
bnlearn,173.8712741741795600
xplorerr,173.7660212707935600
Rsymphony,173.3985954458395400
svglite,173.3813094026406000
tables,173.2218110253064400
rfm,172.5715196429994400
officer,171.0367418779182000
tidygeocoder,169.6053931539489700
DataExplorer,169.5827027027027000
tfdatasets,169.4496382407934300
TraMineR,168.8231140041143400
weights,168.7106472289976700
dtwclust,166.5609924190213600
pkgcache,165.7351154313487200
vtreat,162.9140514457787600
scorecard,162.8624003271314700
tidylog,162.1814717789950000
modeltime,162.0305980528511800
rbibutils,161.4146013974090700
yardstick,160.6033388510729900
qqplotr,160.5452775073028200
rgeos,160.2258593552221700
Zelig,159.7329642595457100
gcookbook,159.6709121113835900
clubSandwich,159.5242575934359600
ISwR,157.0834520079749400
ROSE,156.3739376770538200
